2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
Hubble,II,June 30,EP,"Indie rock, Shoegaze, Emo",Clean,"Atlanta, GA",BC,S,,,
Weite,Assemblage,June 30,LP,"Prog-rock, Psychedelic rock, Krautrock",Instrumental,"Berlin, Germany",BC,S,,,
Tyshawn Sorey,Continuing,June 30,LP,"Avant-garde Jazz, Post-Bop",Instrumental,"New York, NY",BC,,,,
Slow Wake,Falling Fathoms,June 30,LP,"Psychedelic rock, Stoner metal, Heavy Psych",Clean,"Cleveland, OH",BC,S,,,
Oceanica,Panta Rhei,June 30,LP,"Prog-rock, Post-metal",Mixed,"Brighton, UK",BC,S,,,
Once Below Joy,Through The Fog,June 30,EP,Prog-rock,Clean,"Charlotte, NC",BC,,,,
Nothing but Thieves,Dead City Club,June 30,LP,"Alt-rock, Pop rock",Clean,"Southend, UK",BC,S,,,
Subjective Map,Subjective Map,June 30,LP,"Prog-rock, Jazz rock",Instrumental,"Tarbes, France",BC,S,,,
Swive,Stereophonic Stylings Volume One,July 1,LP,Alt-rock,Clean,"San Diego, CA",BC,S,,,
1476,In Exile,July 7,LP,"Deathrock, Post-Punk",Clean,"Salem, MA",BC,S,,,
Solstein,Solstein,July 7,LP,"Prog-rock, Jazz Fusion, Funk",Instrumental,Norway,BC,S,,,
PJ Harvey,I Inside the Old Year Dying,July 7,LP,"Singer/Songwriter, Art rock",Clean,"London, UK",BC,S,,,
Local Natives,Time Will Wait For No One,July 7,LP,"Indie rock, Indie Pop",Clean,"Los Angeles, CA",BC,S,,,
Emma Ruth Rundle,Engine Of Hell - Live At Roadburn 2022,July 7,LP,"Singer/Songwriter, Contemporary Folk",Clean,"Portland, OR",BC,S,,,
The Far Outs,The Far Outs,July 7,LP,Garage rock,Clean,"Brisbane, Australia",BC,S,,,
Jenny Besetzt,Goner,July 7,LP,"Post-Punk, Shoegaze",Clean,"Raleigh, NC",BC,S,,,
The Pink Spiders,Freakazoid,July 7,LP,"Power Pop, Garage rock",Clean,"Nashville, TN",BC,S,,,
Abbey Blackwell,My Maze,July 7,LP,"Singer/Songwriter, Folk rock",Clean,"Seattle, WA",BC,S,,,
Lords of Form,23 Strangers,July 7,LP,"Psychedelic rock, Space rock",Clean,"Brighton, UK",BC,,,,
The Dust Coda,Loco Paradise,July 7,LP,Hard rock,Clean,"London, UK",BC,S,,,
Longings,Dreams In Red,July 7,LP,Post-Punk,Clean,"Amherst, MA",BC,S,,,
Kurt Michaels,Stones from the Garden,July 7,LP,Prog-rock,Clean,"Illinois, IL",BC,S,,,
I Am the Manic Whale,Bumper Book of Mystery Stories,July 7,LP,Prog-rock,Clean,"Reading, UK",BC,,,,
Shrine,Sacred Limbo,July 7,EP,"Post-rock, Shoegaze",Clean,"Surabaya, Indonesia",BC,S,,,
Mourning Knight,A World of Dreams,July 7,LP,Prog-rock,Clean,"Mount Kisco, NY",BC,S,,,
This Is The Glasshouse,As Small As Ants,July 9,LP,"Art rock, Indie Folk, Chamber Pop",Clean,"Yukon, Canada",BC,S,,,
Golden Hymns Sing 'Hurrah',The Great Dystopian Songbook III: Songs For The Homeland,July 10,LP,Post-rock,Instrumental,"New York, NY",BC,S,,,
Cancer and Capricorn,Ordinary Time,July 11,LP,"Indie rock, Indie Pop",Clean,"San Francisco, CA",BC,S,,,
The Burning Paris,Everything is Broken & I Don't Feel a Thing,July 12,LP,Post-rock,Clean,"Beverly, MA",BC,S,,,
Tim Traynor,Intentional Castaway,July 12,LP,Yacht rock,Clean,"New York, NY",BC,,,,
Auralayer,Thousand Petals,July 14,LP,"Stoner rock, Hard rock",Clean,"Greenville, SC",BC,S,,,
Being Dead,When Horses Would Run,July 14,LP,"Indie rock, Art Pop",Clean,"Austin, TX",BC,S,,,
12RODS,If We Stayed Alive,July 14,LP,Indie rock,Clean,"Minneapolis, MN",BC,S,,,
Jaye Jayle,Don't Let Your Love Life Get You Down,July 14,LP,"Gothic Country, Darkwave",Clean,"Louisville, KY",BC,S,YT,,
The Devil's Trade,Vidékek Vannak Idebenn,July 14,LP,Dark Folk,Clean,"Budapest, Hungary",BC,S,YT,,
Cinema Cinema,Mjölnir,July 14,LP,"Experimental rock, Noise rock",Clean,"Brooklyn, NY",BC,S,,,
Dream the Electric Sleep,American Mystic,July 14,LP,"Prog-rock, Alt-rock",Clean,"Lexington, KY",BC,S,,,
Skin Thief ,"Everything is Empty, Everything is One",July 14,LP,Post-rock,Instrumental,"Melbourne, Australia",BC,S,,,
Agusa,Prima Materia,July 14,LP,"Prog-rock, Psychedelic rock",Clean,"Malmö, Sweden",BC,S,,,
Temple of Angels,Endless Pursuit,July 14,LP,"Post-Punk, Dream Pop",Clean,"Austin, TX",BC,S,,,
Soft Cheese,Dream Body,July 14,LP,"Grunge rock, Shoegaze",Clean,"Portland, OR",BC,S,,,
Night Beats,Rajan,July 14,LP,"Psychedelic rock, Blues rock",Clean,"Texas, TX",BC,S,,,
The Vigilance Committee,Coming Home,July 14,LP,"Punk rock, Alt-rock",Clean,"New York, NY",BC,S,,,
Daniel O'Sullivan,Rosarium,July 14,LP,"Chamber Pop, Ambient",Clean,"London, UK",BC,S,,,
Ineptitude,Monologues,July 14,EP,"Post-rock, Slowcore",Clean,Netherlands,BC,S,,,
Kodiak Empire,The Great Acceleration,July 14,EP,"Prog-rock, Math rock, Alt-rock",Clean,"Brisbane, Australia",BC,S,,,
Glossing,Glossing,July 14,EP,"Post-rock,Indie rock, Shoegaze",Clean,"Richmond, VA",BC,S,,,
Pagan Harvest,Earth's Secret Engine,July 14,LP,"Prog-rock, Folk",Clean,"Bristol, UK",BC,S,,,
Ring Van Möbius,Commissioned Works Pt II - Six Drops of Poison,July 14,LP,Prog-rock,Clean,"Kopervik, Norway",BC,S,,,
Gloom is Okay,Gloom is Okay,July 14,EP,"Prog-rock, Electronic rock",Clean,"Glasgow, UK",BC,S,,,
Bedroom Eyes,Turned Away,July 18,LP,"Indie rock, Post-rock, Shoegaze",Clean,"Boston, MA",BC,S,,,
Here Tonight,Here​.​ Tonight.,July 19,EP,Post-rock,Clean,"Athens, Greece",BC,S,,,
Mittere ,Boy,July 20,LP,"Ambient, Shoegaze",Clean,"Sydney, Australia",BC,S,,,
Oxbow,Love's Holiday,July 21,LP,"Experimental rock, Blues rock",Clean,"San Francisco, CA",BC,S,,,
Upper Wilds,Jupiter,July 21,LP,"Noise rock, Noise Pop",Clean,"Brooklyn, NY",BC,S,,,
Maebe,Rebirth. Relive. Repeat.,July 21,LP,"Prog-rock, Post-rock",Instrumental,"Bristol, UK",BC,S,,,
Strange Ranger ,Pure Music,July 21,LP,"Indie rock, Dream Pop",Clean,"New York, NY",BC,S,,,
Nevāda Nevada,Past Life,July 21,LP,"Indie rock, Americana, Piano rock",Clean,"Brooklyn, NY",BC,S,,,
The Holy Family,Go Zero,July 21,LP,"Psychedelic rock, Tribal Ambient",Clean,UK,BC,S,,,
Supplemental Pills,No Easy Way Out,July 21,LP,"Psychedelic rock, Drone rock",Clean,"Portland, OR",BC,S,,,
The Criticals,Front Door Confrontations,July 21,EP,"Alt-rock, Pop rock",Clean,"Nashville, TN",BC,S,,,
Cut Worms,Cut Worms,July 21,LP,"Singer/Songwriter, Alt-Country, Pop",Clean,"Brooklyn, NY",BC,S,,,
Nathanael Larochette,Old Growth,July 21,LP,"Acoustic, Nature Folk",Instrumental,"Ottawa, Canada",BC,S,,,
Kone,Kone One,July 21,LP,"Art rock, Indie rock",Clean,"Oxford, UK",BC,S,,,
Dorotheo,Nada Escrito,July 21,LP,Psychedelic rock,Clean,"Guadalajara, Mexico",BC,S,,,
Tiefenrausch,Tiefenrausch,July 21,LP,"Prog-rock, Psychedelic rock",Instrumental,"Tübingen, Germany",BC,S,,,
Matteo Mancuso,The Journey,July 21,LP,"Prog-rock, Jazz rock",Instrumental,Italy,BC,S,,,
Die In A Dream,The Liminal,July 21,EP,"Alt-rock, Space rock",Clean,Australia,BC,S,,,
Greta Van Fleet,Starcatcher,July 21,LP,"Hard rock, Blues rock",Clean,"Nashville, TN",,S,,,
Bang,Another Me,July 21,LP,Hard rock,Clean,"Philadelphia, PA",,S,,,
I Think I Saw You See Me,Superimposer,July 21,LP,Post-rock,Instrumental,"Vancouver, Canada",BC,S,,,
Blur,The Ballad of Darren,July 21,LP,Alt-rock,Clean,UK,,S,,,
Stateside,It's What We Do,July 21,EP,"Post-Punk, Post-Hardcore, Emo",Mixed,"California, CA",BC,S,,,
Sunforger,Sunforger,July 21,LP,"Post-Punk, Slacker rock",Clean,"Montreal, Canada",BC,S,,,
Guided By Voices,Welshpool Frillies,July 21,LP,Indie rock,Clean,"Dayton, OH",BC,S,,,
Yellowcard,Childhood Eyes,July 21,EP,"Alt-rock, Pop Punk",Clean,"Jacksonville, FL",,S,,,
Howl at the Sky,In Line for the End Times,July 24,LP,"Hard rock, Grunge rock",Clean,"Cincinnati, OH",BC,S,,,
High Pulp,Days In The Desert,July 28,LP,"Jazz Fusion, Nu Jazz",Instrumental,"Seattle, WA",BC,S,YT,,
The Fierce And The Dead,News From The Invisible World,July 28,LP,"Prog-rock, Post-rock",Clean,"London, UK",BC,S,,,
Jim Lockey and the Solemn Sun,Colour,July 28,LP,"Alt-Country, Folk, Punk",Clean,"Cheltenham, UK",BC,S,,,
Bear the Mammoth,Purple Haus,July 28,LP,"Prog-rock, Post-rock, Math rock",Instrumental,"Melbourne, Australia",BC,S,,,
Velcros,Spit Takes,July 28,EP,"Post-Punk, Garage rock",Clean,"Leipzig, Germany",BC,S,YT,,
Pia Fraus,Evening Colours,July 28,LP,"Dream Pop, Shoegaze",Clean,"Tallinn, Estonia",BC,S,,,
Meteor Police,New Type Destroyer,July 28,LP,Post-Punk,Clean,"New Jersey, NJ",BC,,,,
The Big Net,Like Dogs,July 28,LP,"Indie rock, Alt-Country",Clean,"New York, NY",BC,S,,,
Poison Door,Fear of Living,July 28,LP,Post-Punk,Clean,"Columbus, OH",BC,S,,,
Wandering Monster,Zenna,July 28,LP,Jazz rock,Instrumental,"Leeds, UK",BC,S,,,
Andrew Smiley & Kate Gentile,Flagrances,July 28,LP,"Jazz rock, Avant-garde, Free Improv",Instrumental,"Brooklyn, NY",BC,,,,
William The Conqueror,Excuse Me While I Vanish,July 28,LP,"Indie rock, Alt-rock, Blues",Clean,"Newquay, UK",BC,S,,,
A Light Sleeper,Equaeverpoise,July 28,LP,"Prog-rock, Avant-Prog, Jazz",Instrumental,"Chicago, IL",BC,,,,
Rascal Reporters,The Strainge Case of Steve,July 28,LP,"Prog-rock, Avant-Prog",Instru./Clean,"Detroit, MI",BC,,,,
Edison Suit,Persistence of Vision,July 28,LP,"Prog-rock, Electronic",Instrumental,"Los Angeles, CA",BC,S,,,
Rocky,Rocky,July 28,LP,"Post-Punk, Art Pop",Clean,Australia,BC,S,,,
New Standards Men,Against Our Vanishings,July 28,LP,"Post-rock, Drone metal, Dark Jazz",Instrumental,"Denver, CO",BC,S,,,
Maple Stave,Arguments,August 1,LP,"Math rock, Post-rock",Clean,"Durham, NC",BC,S,,,
The Ivory Heart,The Moonlight Express,August 1,EP,"Prog-rock, Art Pop",Clean,"Utah, UT",BC,,,,
Mikaela Davis,And Southern Star,August 4,LP,"Singer/Songwriter, Indie rock",Clean,"Catskill, NY",BC,S,,,
Vinyl Williams,Aeterna,August 4,LP,"Neo-Psychedelia, Psychedelic Pop",Clean,"Los Angeles, CA",BC,S,,,
Edward Reekers,The Liberty Project,August 4,LP,"Prog-rock, AOR",Clean,Netherlands,BC,S,,,
Beth Bombara,It All Goes Up,August 4,LP,"Singer/Songwriter, Indie rock, Americana",Clean,"St. Louis, MO",BC,S,,,
Gaz Brookfield,Morning Walking Club,August 4,LP,"Singer/Songwriter, Folk rock",Clean,"Bristol, UK",BC,S,,,
Lovely Burden,No One's Home,August 4,LP,Post-rock,Instrumental,"Kansas City, MO",BC,,,,
Sonic Moon,Return Without Any Memory,August 4,LP,"Psychedelic rock, Stoner rock",Clean,"Aarhus, Denmark",BC,S,,,
Holy Wave,Five of Cups,August 4,LP,"Psychedelic rock, Neo-Psychedelia",Clean,"Austin, TX",BC,S,,,
Activity,Spirit in the Room,August 4,LP,"Post-Punk, Art rock",Clean,"New York, NY",BC,S,,,
Tangled Thoughts of Leaving,Oscillating Forest,August 4,LP,Post-rock,Instrumental,"Perth, Australia",BC,S,,,
Teenage Wrist,Still Love,August 4,LP,Alt-rock,Clean,"Los Angeles, CA",BC,S,,,
Any Given Sin,War Within,August 4,LP,"Alt-rock, Hard rock",Clean,"California, MD",BC,S,,,
Acid Magus,Hope Is Heavy,August 4,LP,"Stoner rock, Garage rock, Doom metal",Clean,"Pretoria, South Africa",BC,S,,,
Gaadge,Somewhere Down Below,August 4,LP,Indie rock,Clean,"Pittsburgh, PA",BC,S,,,
M.A.G.S.,Destroyer,August 4,LP,"Indie rock, Pop rock",Clean,"Buffalo, NY",BC,S,,,
Moundabout,An Cnoc Mór,August 4,LP,"Psychedelic Folk, Krautrock",Clean,UK,BC,S,,,
Rope,Higher Violence,August 4,LP,"Post-Punk, Post-rock",Clean,"Berlin, Germany",BC,S,,,
Sunshine Frisbee Laserbeam,Mortuary Pantomime,August 4,LP,"Alt-rock, Pop Punk",Clean,"Birmingham, UK",BC,S,,,
Big Red Fire Truck,Trouble In Paradise,August 4,LP,Hard rock,Clean,"Sydney, Australia",BC,S,,,
Swandive,The Lonestar,August 8,LP,"Experimental rock, Post-Punk",Clean,"Los Angeles, CA",BC,S,,,
The Hives,The Death of Randy Fitzsimmons,August 11,LP,"Garage rock, Punk rock",Clean,Sweden,,S,,,
High Rise,Dispersion,August 11,LP,"Psychedelic rock, Garage rock",Clean,"Tokyo, Japan",BC,,,,
Blindstone,Scars To Remember,August 11,LP,"Blues rock, Hard rock",Clean,Denmark,BC,S,,,
External Actor,Cruel And Stupid,August 11,LP,Alt-rock,Clean,"Ottawa, Canada",BC,S,,,
Din of Celestial Birds,The Night is for Dreamers,August 11,LP,Post-rock,Instrumental,"Leeds, UK",BC,S,,,
The View,Exorcism Of Youth,August 11,LP,Indie rock,Clean,"Dundee, UK",BC,S,,,
Neal Morse,The Dreamer - Jospeh: Part One,August 11,LP,"Prog-rock, Symphonic Prog",Clean,"Nashville, TN",,,,,
Zilched,Earthly Delights,August 11,LP,"Alt-rock, Gothic Pop",Clean,"Detroit, MI",BC,S,,,
Facet,Facet,August 11,LP,Noise rock,Clean,"Oakland, CA",BC,S,,,
The Iceman Special,Zycordia,August 11,LP,"Psychedelic rock, Funk rock",Clean,"New Orleans, LA",BC,S,,,
Imaginary Kings,Safer in Chains,August 14,LP,"Instrumental Rock, Progressive Rock",Instrumental,"Wirral, United Kingdom",BC,,,,
Osees,Intercepted Message,August 16,LP,"Garage Punk, Noise rock",Clean,"Los Angeles, CA",BC,,,,
Scale & Feather,Isolationist,August 16,LP,Post-rock,Instrumental,"Tucson, AZ",BC,,,,
Wetsuit,"Sugar, I'm Tired",August 17,LP,Indie rock,Clean,"Brooklyn, NY",BC,,,,
Tō Yō,Stray Birds From the Far East,August 18,LP,Psychedelic rock,Clean,"Tokyo, Japan",BC,S,,,
Mapache,Swinging Stars,August 18,LP,"Alt-Country, Folk rock",Clean,"Los Angeles, CA",BC,S,,,
Tusmørke,Hestehoven,August 18,LP,"Prog-rock, Folk rock",Clean,"Oslo, Norway",BC,S,,,
Kioea,Stand Tall,August 18,LP,"Psychedelic rock, Surf rock",Instrumental,"Maine, ME",BC,,,,
Fiddlehead,Death is Nothing to Us,August 18,LP,"Post-Hardcore, Emo",Clean,"Boston, MA",BC,S,,,
Shanf,Meatball,August 18,LP,"Art rock, Fusion",Clean,"Kalamazoo, MI",BC,S,,,
Bearings,The Best Part About Being Human,August 18,LP,Pop Punk,Clean,"Ottawa, Canada",BC,S,,,
Point North,Prepare For Despair,August 18,LP,"Post-Hardcore, Alt-rock",Mixed,"Los Angeles, CA",BC,S,,,
Lovely Little Girls,Effusive Supreme,August 18,LP,"Experimental rock, Avant-Prog",Clean,"Chicago, IL",BC,S,,,
Black Bats,Stay Dead,August 18,LP,"Garage rock, Psychedelic rock, Western",Clean,"Melbourne, Australia",BC,S,,,
Mapache,Swinging Stars,August 18,LP,"Alt-Country, Folk rock",Clean,"Los Angeles, CA",BC,S,,,
Materialeyes,Inside Out,August 18,LP,Prog-rock,Clean,"Manchester, UK",BC,S,,,
Future Scars,Half Life,August 18,LP,"Math rock, Post-rock",Clean,"New Mexico, NM",BC,S,,,
Spanish Love Songs,No Joy,August 25,LP,"Pop Punk, Emo",Clean,"Los Angeles, CA",BC,S,,,
Hey Colossus,In Blood,August 25,LP,"Psychedelic rock, Post-rock, Art rock",Clean,"London, UK",BC,,,,
Ratboys,The Window,August 25,LP,Indie rock,Clean,"Chicago, IL",BC,S,,,
Drab Majesty ,An Object In Motion,August 25,EP,"Gothic rock, Post-Punk, Darkwave",Clean,"Los Angeles, CA",BC,S,,,
A Giant Dog,Bite,August 25,LP,"Garage rock, Indie rock",Clean,"Austin, TX",BC,S,,,
Sisters,Leecheater,August 25,LP,"Post-Hardcore, Post-Punk, Emo",Clean,"San Diego, CA",BC,S,,,
Film School,Field,August 25,LP,"Dream Pop, Indie rock, Shoegaze",Clean,"Los Angeles, CA",BC,S,,,
Böndbreaker,Exile,August 25,LP,Hardcore Punk,Mixed,"Austin, TX",BC,,,,
Ovef Ow,Vs. The Worm,August 25,LP,"Post-Punk, New Wave",Clean,"Chicago, IL",BC,S,,,
Filter,The Algorithm,August 25,LP,Alt-rock,Clean,"Los Angeles, CA",,S,,,
Docents,Figure Study,August 25,LP,Noise rock,Mixed,"New York, NY",BC,S,,,
Tomoyuki Trio,Mars,August 25,LP,"Psychedelic rock, Space rock, Noise rock",Clean,Japan,BC,,,,
Modoki,Luna To Phobos,August 25,LP,"Psychedelic rock, Sludge rock",Clean,Japan,BC,,,,
Pleasure Forever,Distal,August 25,LP,"Post-Punk, Indie rock, Gothic",Clean,"San Francisco, CA",BC,S,,,
Dabda,Yonder,August 25,EP,"Math rock, Post-rock",Clean,"Seoul, South Korea",BC,S,,,
Neon Waltz,Honey Now,September 1,LP,"Indie rock, Britpop",Clean,UK,BC,S,,,
Pale Blue Eyes,This House,September 1,LP,"Dream Pop, Post-Punk",Clean,"Totnes, UK",BC,S,,,
Speedy Ortiz,Rabbit Rabbit,September 1,LP,Indie rock,Clean,"Philadelphia, PA",BC,S,,,
Blanket,Blue Eyes,September 1,EP,"Post-rock, Shoegaze",Clean,"Blackpool, UK",BC,S,,,
Sam Millar,More Cheese Please,September 1,LP,"Pop rock, AOR",Clean,"Manchester, UK",BC,S,,,
Silent Skies,Dormant,September 1,LP,Art rock,Clean,"Gothenburg, Sweden",BC,S,,,
Timechild,Blossom & Plague,September 1,LP,Hard rock,Clean,Denmark,BC,S,,,
Black Magic Six ,Black Cloud Descending,September 1,LP,"Hard rock, Blues rock",Clean,"Helsinki, Finland",BC,S,,,
Sonny & The Sunsets,Self Awareness Through Macrame,September 1,LP,"Indie rock, Folk Pop",Clean,"San Francisco, CA",BC,,,,
Frankie and the Witch Fingers,Data Doom,September 1,LP,"Psychedelic rock, Garage rock",Clean,"Los Angeles, CA",BC,S,,,
The Fusion Syndicate,A Speedway On Saturn's Rings,September 1,LP,"Prog-rock, Jazz Fusion",Instrumental,"Los Angeles, CA",BC,S,,,
Slowdive,Everything Is Alive,September 1,LP,"Dream Pop, Shoegaze",Clean,"Reading, UK",BC,S,,,
Sprain,The Lamb As Effigy,September 1,LP,"Post-Hardcore, Slowcore, Noise rock",Mixed,"Los Angeles, CA",BC,S,,,
Karmamoi,Strings From The Edge of Sound,September 1,LP,Prog-rock,Clean,"Roma, Italy",BC,S,,,
Jeff Rosenstock,Hellmode,September 1,LP,Ska Punk,Clean,"Los Angeles, CA",BC,,,,
Just Friends,Gusher,September 1,LP,"Power Pop, Funk rock, Rap rock",Clean,"Dublin, CA",BC,S,,,
Lyft Trio,Nord,September 1,LP,"Psychedelic rock, Jazz rock",Instrumental,"Lucerne, Switzerland",BC,S,,,
The Color of Cyan,Egress,September 1,LP,Post-rock,Instrumental,"Chicago, IL",BC,S,,,
Routine Death,Comrade,September 1,LP,"Shoegaze, Noise Pop",Clean,"Austin, TX",BC,S,,,
Swallow the Rat,South Locust,September 1,LP,Post-Punk,Clean,"Auckland, New Zealand",BC,S,,,
Perennial,The Leaves Of Autumn Symmetry,September 1,EP,Art Punk,Clean,"Connecticut, CT",BC,,,,
Human Growth,Lube Factory,September 1,LP,Hard rock,Clean,"Copenhagen, Denmark",BC,S,,,
Pyrex,Noise For No Reason,September 1,EP,"Psychedelic rock, Folk, Shoegaze",Clean,"Creswick, Australia",BC,S,,,
The Exit Bags,Our Sun Will Clean its Holy Wounds,September 1,LP,Slowcore,Clean,"Edmonton, Canada",BC,S,,,
Lathe of Heaven,Bound By Naked Skies,September 1,LP,"Post-Punk, New Wave",Clean,"Brooklyn, NY",BC,S,,,
Randy George,Beyond Words,September 1,LP,"Prog-rock, Fusion",Instrumental,"Seattle, WA",BC,,,,
Taking Meds,Dial M For Meds,September 1,LP,"Post-Punk, Alt-rock",Clean,"Brooklyn, NY",BC,S,,,
Southern Empire,Another World,September 4,LP,"Progressive Rock, Neo-Prog",Clean,"Adelaide, Australia",,S,,,
The Mercury Tree,Self Similar,September 7,LP,"Prog-Rock, Psychedelic, Math-Rock",Clean,"Portland, Oregon",BC,S,,,
Kvelertak,Endling,September 8,LP,"Black 'n' Roll, Hardcore Punk, Hard rock",Mixed,"Stavanger, Norway",,S,,,
Fotocrime,Accelerated,September 8,LP,"Post-Punk, Gothic rock, Darkwave",Clean,"Louisville, KY",BC,S,,,
Echo Ladies,Lilies,September 8,LP,"Indie Pop, Shoegaze",Clean,"Malmö, Sweden",BC,S,,,
Deeper,Careful!,September 8,LP,"Post-Punk, Indie rock",Clean,"Chicago, IL",BC,S,,,
Pleaser,Pleaser,September 8,LP,"Punk rock, Indie rock, Emo",Clean,"Copenhagen, Denmark",BC,S,,,
Mirror Tree,Mirror Tree,September 8,LP,"Psychedelic rock, Indie Pop",Clean,"Los Angeles, CA",BC,S,,,
Royal Blood,Back to the Water Below,September 8,LP,"Alt-rock, Alternative Dance",Clean,"Worthing, UK",,S,,,
Cursetheknife,There's A Place I Can Rest,September 8,LP,"Noise rock, Alt-rock, Shoegaze",Clean,"Oklahoma City, OK",BC,,,,
Sex Swing,Grade A Peanut Sauce,September 8,LP,"Experimental rock, Noise rock",Clean,"London, UK",BC,S,,,
Laurence-Anne,Oniromancie,September 8,LP,Dream Pop,Clean,"Montreal, Canada",BC,S,,,
Bushman´s Revenge,All the Better for Seeing You,September 8,LP,Jazz rock,Instrumental,"Oslo, Norway",BC,,,,
Pixie Ninja,Hypnagogia,September 8,LP,"Prog-rock, Experimental rock, Electronic",Instrumental,"Rognan, Norway",BC,S,,,
Alabaster dePlume,Come With Fierce Grace,September 8,LP,"Spiritual Jazz, Poetry, Chamber",Clean,"London, UK",BC,S,,,
Zeus,Credo,September 8,LP,Indie rock,Clean,"Toronto, Canada",BC,S,,,
The Flower Kings,Look At You Now,September 8,LP,"Prog-rock, Symphonic Prog",Clean,"Uppsala, Sweden",,S,,,
Downes Braide Association,Celestial Songs,September 8,LP,Prog-rock,Clean,UK,,S,,,
Fire Down Below,Low Desert Surf Club,September 8,LP,Stoner rock,Clean,"Ghent, Belgium",BC,S,,,
My Own Army,A King on Every Corner,September 8,LP,Prog-rock,Clean,Netherlands,BC,S,,,
Lowdrive,Rise,September 8,LP,"Stoner rock, Hard rock",Clean,"Sheffield, UK",BC,S,,,
Soft Science,Lines,September 8,LP,"Dream Pop, Shoegaze",Clean,"Sacramento, CA",BC,S,,,
Hats Off Gentlemen It's Adequate,The Light Of Ancient Mistakes,September 9,LP,"Prog-rock, Art rock",Clean,"London, UK",BC,,,,
World's End Girlfriend,Resistance & The Blessing,September 9,LP,"Experimental rock, Post-rock, Glitch Pop",Clean,"Tokyo, Japan",BC,,,,
Squiggly Lines ,Re: love songs ,September 9,LP,"Experimental Pop, Bedroom Pop",Clean,"Toronto, Ontario",BC,S,,,
Les Fantômes du jour,Ravages,September 13,LP,"Prog-rock, Post-rock",Clean,"Nantes, France",BC,,,,
The Traders,How Much Art Can You Take?,September 14,LP,Punk rock,Clean,"Lyon, France",BC,S,,,
Thirty Seconds to Mars,The End Of The World But It’s A Beautiful Day,September 15,LP,"Electropop, Alternative",Clean,"Los Angeles, CA",BC,S,,,
Margo Cilker,Valley Of Heart's Delight,September 15,LP,"Singer/Songwriter, Country Folk",Clean,"Goldendale, WA",BC,,,,
Hudkreft,Osyo By,September 15,LP,Punk rock,Clean,"Oslo, Norway",BC,S,,,
Seven)Suns,One of Us Is the Killer,September 15,LP,"Modern Classical, Chamber",Instrumental,"Brooklyn, NY",BC,S,,,
The Chronicles of Father Robin,The Songs & Tales of Airoea – Book 1,September 15,LP,Prog-rock,Clean,"Oslo, Norway",BC,,,,
Worriers,Trust Your Gut,September 15,LP,"Indie rock, Power Pop",Clean,"Philadelphia, PA",BC,S,,,
Briscoe,West Of It All,September 15,LP,"Folk rock, Americana",Clean,"Austin, TX",BC,S,,,
C.O.F.F.I.N,Australia Stops,September 15,LP,Garage Punk,Clean,"Sydney, Australia",BC,S,,,
Phosphene,Transmute,September 15,LP,"Dream Pop, Shoegaze",Clean,"Portland, OR",BC,S,,,
Explosions in the Sky,End,September 15,LP,Post-rock,Instrumental,"Austin, TX",BC,S,,,
Atomicos,Fins Up!,September 15,LP,Surf rock,Instrumental,"Lethbridge, Canada",BC,S,,,
Woods,Perennial,September 15,LP,"Psychedelic Pop, Indie rock",Clean,"Warwick, NY",BC,S,,,
Orson Wilds,This Burning House (We All Fell Asleep In),September 15,EP,Indie rock,Clean,"Toronto, Canada",BC,S,,,
Bleach Lab,Lost In A Rush Of Emptiness,September 22,LP,Dream Pop,Clean,"London, UK",BC,S,,,
White Wire,Crack Up,September 22,LP,"Noise rock, Punk rock",Clean,"Blois, France",BC,,,,
Spurv,Brefjære,September 22,LP,Post-rock,Instru./Clean,"Oslo, Norway",BC,S,,,
Teenage Fanclub,Nothing Lasts Forever,September 22,LP,"Alt-rock, Jangle Pop",Clean,"Glasgow, UK",BC,S,,,
JOHN (TIMESTWO),A Life Diagrammatic,September 22,LP,Garage Punk,Clean,"London, UK",BC,S,,,
Mad Honey,Satellite Aphrodite,September 22,LP,"Dream Pop, Indie rock, Shoegaze",Clean,"Oklahoma City, OK",BC,S,,,
Silence in the Snow,Ghost Eyes,September 22,LP,"Post-Punk, Darkwave",Clean,"Oakland, CA",BC,S,,,
Radian,Distorted Rooms,September 22,LP,"Experimental rock, Post-rock, Electronic",Instrumental,"Vienna, Austria",BC,S,,,
Sally Anne Morgan,Carrying,September 22,LP,"Folk rock, Indie Folk",Clean,"Asheville, NC",BC,S,,,
Final Gasp,Mourning Moon,September 22,LP,"Deathrock, Hardcore Punk",Clean,"Boston, MA",BC,S,,,
Thurnin,Útiseta,September 22,LP,"Dark Folk, Neofolk",Instrumental,Netherlands,BC,S,,,
Flat Worms,Witness Marks,September 22,LP,"Garage Punk, Post-Punk",Clean,"Los Angeles, CA",BC,S,,,
Scott Hepple and The Sun Band,Ashes to Wildflowers,September 22,LP,"Psychedelic rock, Indie rock",Clean,"Newcastle, UK",BC,S,,,
